,Valor.Real,VAR.PLS,VAR,2.50%,97.50%,t,Error_var,Error_var_pls,aws3,awst,aws98,Error_aws
V1,19.1902,19.19234724,17.85212073,17.67231264,20.73350615,01/02/2019,6.97%,0.01%,18.1963169,18.9488628,19.7014087,1.27%
V2,19.2339,19.17778899,17.13429494,17.60692808,20.77603703,01/03/2019,10.92%,0.29%,17.6963428,18.9488628,20.2013828,1.50%
V3,19.0231,19.22480472,16.9875502,17.69374731,20.78637638,01/04/2019,10.70%,1.06%,17.3453394,18.9488628,20.5523862,0.39%
V4,19.0883,19.17915903,16.71432136,17.66593427,20.72885571,01/05/2019,12.44%,0.48%,17.0584215,18.9488628,20.8393041,0.74%
V5,19.2912,19.15252911,16.79736502,17.65089944,20.69559533,01/06/2019,12.93%,0.72%,16.8096458,18.9488628,21.0880798,1.81%
V6,19.0669,19.14488977,16.39955469,17.65297283,20.67966502,01/07/2019,13.99%,0.41%,16.5869292,18.9488628,21.3107964,0.62%
V7,19.5896,19.17695506,15.21885488,17.69135313,20.70763051,01/08/2019,22.31%,2.11%,16.3834756,18.9488628,21.5142499,3.38%
V8,19.6242,19.18003924,15.11844328,17.69603612,20.70727674,01/09/2019,22.96%,2.26%,16.1950123,18.9488628,21.7027132,3.56%
V9,19.3701,19.20604574,14.93503773,17.72300842,20.73473835,01/10/2019,22.90%,0.85%,16.0186455,18.9488628,21.87908,2.22%
V10,19.2931,19.15621165,14.38119018,17.67878247,20.68509322,01/11/2019,25.46%,0.71%,15.8523076,18.9488628,22.045418,1.82%
V11,19.1776,19.17924291,13.95584271,17.69110711,20.71113189,01/12/2019,27.23%,0.01%,15.6944603,18.9488628,22.2032652,1.21%
V12,18.806,19.18272698,13.5783666,17.70197039,20.70758357,01/01/2020,27.80%,2.00%,15.5439228,18.9488628,22.3538028,0.75%
,,,,,,,,,,,,
