"","2.5%","97.5%","l"
"V1",3.52003459987183,3.5411589083282,0.0211243084563772
"V2",3.57086091332143,3.59824803779406,0.0273871244726318
"V3",3.53105740952536,3.56157165857334,0.0305142490479882
"V4",3.51322475900601,3.54969667366191,0.0364719146559023
"V5",3.50162966742567,3.54306622193566,0.0414365545099966
"V6",3.49191693988884,3.5347752432451,0.0428583033562573
"V7",3.48560192403415,3.53067544935293,0.0450735253187839
"V8",3.48400311578765,3.52723750373847,0.043234387950819
"V9",3.48303732032685,3.52869261518704,0.0456552948601985
"V10",3.4774291821329,3.52888156958489,0.0514523874519877
"V11",3.48813580423332,3.53188898520969,0.0437531809763785
"V12",3.48075659418202,3.52485659205686,0.0440999978748344
